frame,absrel,sqrel,rmse,rmse_log,delta1,delta2,delta3
1662122125793986816.png,0.310977,3.733940,7.826701,1.497963,0.630473,0.653299,0.710016
1662122125835987712.png,0.312676,3.657834,7.755010,1.442072,0.633769,0.655734,0.712928
1662122125874988544.png,0.312649,3.673305,7.763727,1.436074,0.627680,0.650198,0.708566
1662122125916989440.png,0.310776,3.633639,7.709642,1.423400,0.624257,0.647312,0.712566
1662122125961990400.png,0.308967,3.694563,7.762384,1.437846,0.620363,0.643683,0.702201
1662122126003991296.png,0.304249,3.671638,7.757826,1.440746,0.628491,0.651074,0.709650
1662122126045992192.png,0.296687,3.587618,7.662236,1.409906,0.627926,0.650399,0.711877
1662122126087993088.png,0.315160,3.759405,7.788079,1.446325,0.614518,0.635053,0.691932
1662122126129993984.png,0.301909,3.598792,7.645075,1.395549,0.623963,0.649988,0.707483
1662122126171994880.png,0.301607,3.572595,7.618694,1.397177,0.629048,0.652758,0.710232
1662122126219995904.png,0.290479,3.479838,7.530718,1.386436,0.629915,0.657371,0.721839
1662122126264996864.png,0.287446,3.364292,7.452807,1.343011,0.649846,0.674708,0.734090
1662122126303997696.png,0.281888,3.309994,7.365249,1.318611,0.642647,0.667029,0.732404
1662122126351998720.png,0.281766,3.307421,7.389242,1.345840,0.652623,0.678445,0.739513
1662122126393999616.png,0.272953,3.193225,7.264427,1.287201,0.654797,0.681543,0.741047
1662122126436000512.png,0.292305,3.418249,7.483670,1.348727,0.638590,0.665387,0.721706
1662122126478001408.png,0.280073,3.320736,7.388346,1.306954,0.643592,0.668429,0.724190
1662122126523002368.png,0.275887,3.263041,7.353968,1.292553,0.656055,0.679123,0.730785
1662122126565003264.png,0.274648,3.303185,7.404215,1.307610,0.658561,0.681529,0.732306
1662122126601004032.png,0.297805,3.346537,7.401033,1.316538,0.647836,0.670095,0.724524
1662122126640004864.png,0.289745,3.249386,7.295721,1.279242,0.651599,0.674686,0.727376
1662122126685005824.png,0.289150,3.153100,7.188207,1.249561,0.654681,0.677925,0.735042
1662122126727006720.png,0.273930,3.032910,7.051001,1.218901,0.658063,0.682854,0.737015
1662122126769007616.png,0.270819,2.966364,6.986510,1.209991,0.665007,0.691822,0.751022
1662122126808008448.png,0.272809,2.990879,7.019376,1.216173,0.670814,0.696448,0.749816
1662122126850009344.png,0.253210,2.871173,6.897130,1.209555,0.682938,0.707128,0.764332
1662122126895010304.png,0.245775,2.839569,6.877477,1.198924,0.690109,0.714724,0.770550
1662122126940011264.png,0.259679,2.767355,6.759125,1.160641,0.690662,0.715590,0.767328
1662122126985012224.png,0.237065,2.674118,6.665300,1.140595,0.699921,0.722913,0.776295
1662122127021012992.png,0.241574,2.730840,6.717251,1.151799,0.695554,0.718915,0.763043
1662122127063013888.png,0.239489,2.707923,6.690420,1.150563,0.699081,0.721560,0.768478
1662122127105014784.png,0.226519,2.485454,6.427227,1.078199,0.714607,0.739973,0.793951
1662122127144015616.png,0.223130,2.494945,6.429069,1.078870,0.714540,0.738299,0.787493
1662122127189016576.png,0.226570,2.510353,6.461970,1.089244,0.714644,0.742152,0.789406
1662122127231017472.png,0.237411,2.339147,6.266095,1.017773,0.730260,0.764561,0.810204
1662122127273018368.png,0.245078,2.233089,6.090926,0.995518,0.732148,0.766023,0.814552
1662122127315019264.png,0.244297,2.167428,5.997009,0.942425,0.735652,0.768867,0.811539
1662122127363020288.png,0.237257,2.249070,6.078434,1.012682,0.739281,0.766254,0.808107
1662122127408021248.png,0.243285,2.169225,5.938675,1.000425,0.749542,0.772880,0.812169
1662122127462022400.png,0.259803,2.056427,5.768368,0.951427,0.706837,0.789032,0.823258
1662122127507023360.png,0.230201,2.039109,5.715137,0.968137,0.750982,0.783850,0.815037
1662122127549024256.png,0.241233,2.059406,5.729276,0.993045,0.743762,0.790265,0.816545
1662122127594025216.png,0.228154,2.038369,5.713439,0.992240,0.756325,0.791087,0.820133
1662122127639026176.png,0.217121,2.045810,5.709869,0.996191,0.766341,0.788163,0.816253
1662122127681027072.png,0.215197,1.990699,5.619873,1.008711,0.774855,0.794886,0.820436
1662122127729028096.png,0.219832,2.036911,5.646117,1.042372,0.773554,0.798996,0.814097
1662122127783029248.png,0.237026,2.070656,5.692284,1.092210,0.773765,0.808404,0.818420
1662122127828030208.png,0.224335,2.060183,5.705133,1.111998,0.782989,0.812478,0.821995
1662122127867031040.png,0.250540,2.087696,5.762241,1.147793,0.743219,0.819163,0.828658
1662122127909031936.png,0.246120,2.071280,5.765841,1.139079,0.739188,0.823242,0.831812
1662122127954032896.png,0.235851,2.078221,5.779722,1.150572,0.776510,0.821083,0.829991
1662122127999033856.png,0.222887,1.939437,5.641701,1.151667,0.811968,0.840374,0.847166
1662122128044034816.png,0.227220,1.916386,5.600513,1.141070,0.779986,0.843640,0.851342
1662122128086035712.png,0.210705,1.763606,5.456898,1.121623,0.823993,0.859620,0.866989
1662122128125036544.png,0.216029,1.711168,5.357028,1.085963,0.833216,0.859123,0.868681
1662122128170037504.png,0.196124,1.504939,4.997779,1.026203,0.854762,0.875637,0.881876
1662122128212038400.png,0.203638,1.358204,4.716256,0.951470,0.836785,0.888800,0.894720
1662122128257039360.png,0.223920,1.240878,4.442491,0.899622,0.745131,0.902537,0.908305
1662122128302040320.png,0.204924,1.109335,4.181036,0.844424,0.835823,0.910204,0.916951
1662122128347041280.png,0.182966,0.983801,3.909574,0.790268,0.869981,0.917282,0.922847
1662122128389042176.png,0.135138,0.885526,3.699225,0.772538,0.905215,0.920342,0.926046
1662122128440043264.png,0.143497,0.753394,3.358556,0.710039,0.896927,0.933137,0.938633
1662122128479044096.png,0.153785,0.729407,3.268047,0.676421,0.889071,0.936588,0.942488
1662122128518044928.png,0.143955,0.764394,3.345320,0.687655,0.884250,0.927431,0.936574
1662122128557045760.png,0.143677,0.807211,3.440820,0.712818,0.870352,0.921220,0.930743
1662122128599046656.png,0.151207,0.978192,3.708549,0.770996,0.869726,0.901466,0.910941
1662122128644047616.png,0.138398,0.996760,3.753593,0.783054,0.868072,0.901447,0.909992
1662122128689048576.png,0.141316,0.983779,3.732023,0.775885,0.878234,0.902366,0.911167
1662122128737049600.png,0.163258,0.953214,3.639566,0.766570,0.833055,0.904438,0.915674
