frame,absrel,sqrel,rmse,rmse_log,delta1,delta2,delta3
1662015381903234816.png,0.843447,8.236315,10.522083,1.961820,0.000000,0.000006,0.001081
1662015381945235712.png,0.837689,8.123979,10.462274,1.927896,0.000000,0.000261,0.003358
1662015381990236672.png,0.845050,8.228189,10.541521,1.964726,0.000000,0.000035,0.000446
1662015382038237696.png,0.849267,8.286969,10.592812,1.988718,0.000000,0.000006,0.000410
1662015382086238720.png,0.852107,8.337215,10.638038,2.009217,0.000000,0.000000,0.000594
1662015382134239744.png,0.842691,8.197694,10.558400,1.958672,0.000000,0.000000,0.004815
1662015382182240768.png,0.848600,8.250661,10.579330,1.989284,0.000000,0.000000,0.002058
1662015382230241792.png,0.854384,8.320359,10.616978,2.025533,0.000000,0.000000,0.000396
1662015382278242816.png,0.845638,8.138552,10.502779,1.964440,0.000000,0.000029,0.000591
1662015382323243776.png,0.832807,7.950383,10.384973,1.893076,0.000000,0.000161,0.002870
1662015382365244672.png,0.824159,7.815049,10.305606,1.845820,0.000000,0.000012,0.005973
1662015382407245568.png,0.827913,7.838663,10.307825,1.863253,0.000000,0.000035,0.004093
1662015382458246656.png,0.827543,7.779456,10.263839,1.859674,0.000000,0.000098,0.003149
1662015382500247552.png,0.833237,7.829757,10.286126,1.889363,0.000000,0.000046,0.001455
1662015382545248512.png,0.844186,7.997439,10.389462,1.960901,0.000000,0.000000,0.000815
1662015382581249280.png,0.838723,7.831054,10.276427,1.910133,0.000000,0.000023,0.000510
1662015382623250176.png,0.833936,7.757931,10.238300,1.885582,0.000000,0.000160,0.000768
1662015382662251008.png,0.827858,7.651765,10.172921,1.849868,0.000000,0.000412,0.001008
1662015382713252096.png,0.827912,7.625436,10.159923,1.852796,0.000000,0.000606,0.001326
1662015382755252992.png,0.834742,7.688457,10.193639,1.885210,0.000000,0.000320,0.001074
1662015382797253888.png,0.837664,7.712777,10.209855,1.903175,0.000000,0.000279,0.001242
1662015382839254784.png,0.838950,7.729371,10.219538,1.918499,0.000000,0.000233,0.001155
1662015382878255616.png,0.840002,7.732002,10.218334,1.928134,0.000000,0.000108,0.001205
1662015382923256576.png,0.823792,7.458458,10.047181,1.830237,0.000000,0.000562,0.001431
1662015382965257472.png,0.826041,7.517070,10.089860,1.853345,0.000000,0.000335,0.001270
1662015383007258368.png,0.818625,7.366094,9.993011,1.810436,0.000000,0.000657,0.001592
1662015383052259328.png,0.819124,7.382283,10.010600,1.814634,0.000000,0.000656,0.001703
1662015383097260288.png,0.822597,7.438777,10.047507,1.836509,0.000000,0.000666,0.001570
1662015383145261312.png,0.815788,7.290687,9.946609,1.792651,0.000152,0.000886,0.001935
1662015383193262336.png,0.824882,7.417432,10.017703,1.844937,0.000000,0.000462,0.001448
1662015383238263296.png,0.833456,7.532174,10.081977,1.890461,0.000000,0.000287,0.001176
1662015383277264128.png,0.817668,7.394792,10.006746,1.825207,0.000000,0.000860,0.001524
1662015383319265024.png,0.825392,7.487357,10.057652,1.865726,0.000000,0.000736,0.001365
1662015383364265984.png,0.817544,7.424544,10.021841,1.834769,0.000000,0.000646,0.001342
1662015383409266944.png,0.819179,7.466555,10.047817,1.846970,0.000000,0.000836,0.001537
1662015383454267904.png,0.821530,7.514585,10.076149,1.862957,0.000006,0.001127,0.001811
1662015383496268800.png,0.831918,7.627817,10.134885,1.910933,0.000067,0.000773,0.001585
1662015383541269760.png,0.827041,7.571060,10.097782,1.885974,0.000022,0.000638,0.001316
1662015383583270656.png,0.826118,7.552617,10.083366,1.880083,0.000034,0.000795,0.001511
1662015383631271680.png,0.820902,7.536940,10.076453,1.866552,0.000101,0.000643,0.001326
1662015383676272640.png,0.814977,7.497847,10.055258,1.843489,0.000073,0.000660,0.001828
1662015383718273536.png,0.826404,7.686780,10.168089,1.912278,0.000145,0.000805,0.001504
1662015383763274496.png,0.823950,7.627882,10.116955,1.881140,0.000078,0.000637,0.001458
1662015383808275456.png,0.828732,7.730619,10.169174,1.908674,0.000067,0.000514,0.001212
1662015383850276352.png,0.828750,7.756980,10.181870,1.912520,0.000095,0.000586,0.001128
1662015383892277248.png,0.820136,7.719530,10.169467,1.870513,0.000140,0.000592,0.001340
1662015383934278144.png,0.833223,7.819324,10.205605,1.916811,0.000313,0.000865,0.001524
1662015383985279232.png,0.815269,7.706772,10.151782,1.862327,0.000993,0.003013,0.005551
1662015384024280064.png,0.809320,7.561208,10.045318,1.822587,0.001295,0.003846,0.005839
1662015384066280960.png,0.813453,7.646564,10.100734,1.856683,0.001278,0.003660,0.007064
1662015384108281856.png,0.806160,7.485415,9.983559,1.806914,0.002070,0.003370,0.006562
1662015384153282816.png,0.820564,7.619556,10.044795,1.866929,0.002251,0.003385,0.004557
1662015384198283776.png,0.829159,7.749645,10.129410,1.913375,0.000631,0.003931,0.005735
1662015384246284800.png,0.804270,7.409415,9.922323,1.787919,0.001954,0.004640,0.007455
1662015384288285696.png,0.818289,7.570985,10.004131,1.867058,0.001246,0.002420,0.005695
1662015384336286720.png,0.824070,7.609148,10.022412,1.886284,0.001565,0.002968,0.004193
1662015384381287680.png,0.822030,7.587678,10.012552,1.879207,0.000927,0.001637,0.003659
1662015384423288576.png,0.807780,7.368742,9.869672,1.809729,0.002156,0.003447,0.007251
1662015384465289472.png,0.805781,7.303658,9.818928,1.796981,0.002934,0.003655,0.006249
1662015384507290368.png,0.808197,7.373681,9.860032,1.834343,0.003099,0.004190,0.007982
1662015384558291456.png,0.819552,7.377748,9.840266,1.860734,0.002030,0.002757,0.004463
1662015384603292416.png,0.802857,7.252137,9.771770,1.820420,0.001897,0.003665,0.019407
1662015384642293248.png,0.798367,7.172225,9.712221,1.797701,0.001903,0.003353,0.022253
1662015384687294208.png,0.796050,7.066392,9.637067,1.775094,0.002927,0.004855,0.010843
1662015384732295168.png,0.785831,6.842019,9.477427,1.712588,0.002488,0.005657,0.015043
1662015384789296384.png,0.784128,6.778895,9.423985,1.706570,0.002412,0.005900,0.033301
1662015384831297280.png,0.792805,6.842722,9.450691,1.745680,0.001685,0.004315,0.014415
1662015384879298304.png,0.774518,6.606557,9.331552,1.653133,0.003332,0.010659,0.027293
1662015384921299200.png,0.749424,6.285845,9.139808,1.559312,0.002917,0.011899,0.056127
1662015384963300096.png,0.761440,6.518318,9.315278,1.626606,0.003342,0.007721,0.044084
1662015385005300992.png,0.769165,6.647268,9.413675,1.661767,0.004223,0.010152,0.041037
1662015385047301888.png,0.776498,6.721006,9.464997,1.694996,0.004980,0.011342,0.022132
1662015385089302784.png,0.768355,6.589473,9.371900,1.647074,0.005852,0.013200,0.028322
1662015385131303680.png,0.728390,6.021604,9.022201,1.473267,0.004996,0.028859,0.069592
1662015385176304640.png,0.734554,6.104393,9.079952,1.488660,0.003315,0.023379,0.061489
1662015385218305536.png,0.772886,6.741767,9.531435,1.674489,0.003022,0.016563,0.048679
1662015385263306496.png,0.739348,6.214585,9.177125,1.515496,0.008513,0.034367,0.057013
1662015385305307392.png,0.787982,7.037197,9.746531,1.780685,0.002770,0.013980,0.042865
1662015385347308288.png,0.754470,6.514058,9.410584,1.592836,0.001924,0.020208,0.045189
1662015385392309248.png,0.733397,6.356871,9.331651,1.520711,0.002781,0.016530,0.110982
1662015385434310144.png,0.728270,6.415827,9.380931,1.533926,0.002976,0.067183,0.125926
1662015385476311040.png,0.751806,6.830754,9.690992,1.648520,0.002049,0.054173,0.105222
1662015385518311936.png,0.719609,6.404486,9.416409,1.499369,0.009290,0.077199,0.127287
1662015385563312896.png,0.733323,6.647993,9.594693,1.565259,0.002439,0.070014,0.110956
1662015385608313856.png,0.774279,7.194785,9.953238,1.752834,0.001331,0.026695,0.078730
1662015385653314816.png,0.758378,7.034647,9.849021,1.677714,0.001745,0.060383,0.082362
1662015385710316032.png,0.744524,6.927135,9.793097,1.627031,0.046911,0.055801,0.081912
1662015385755316992.png,0.764403,7.308662,10.053557,1.722624,0.040828,0.053321,0.085269
1662015385797317888.png,0.749066,7.006625,9.848001,1.611159,0.041452,0.069575,0.090520
1662015385839318784.png,0.762110,7.201046,9.981124,1.691347,0.033468,0.057587,0.074630
1662015385884319744.png,0.750698,6.795584,9.691810,1.563667,0.011978,0.040378,0.066156
1662015385929320704.png,0.768625,6.900620,9.705829,1.597561,0.006607,0.015038,0.060420
1662015385974321664.png,0.785301,7.173561,9.863173,1.686569,0.005129,0.015981,0.057657
1662015386022322688.png,0.772713,6.853181,9.611436,1.599687,0.001780,0.011576,0.049836
1662015386061323520.png,0.773732,6.824348,9.593220,1.602082,0.000551,0.002237,0.046311
1662015386103324416.png,0.776656,6.859486,9.592322,1.611884,0.000571,0.002235,0.040513
1662015386145325312.png,0.777704,6.870467,9.592326,1.624526,0.000650,0.001650,0.025339
1662015386187326208.png,0.764245,6.671337,9.447175,1.565180,0.000772,0.002098,0.025060
1662015386229327104.png,0.765399,6.693986,9.465633,1.574287,0.000795,0.001325,0.016918
1662015386274328064.png,0.751088,6.394365,9.233412,1.479657,0.000462,0.001839,0.013473
1662015386322329088.png,0.774999,6.759275,9.479431,1.589532,0.000657,0.001559,0.006330
1662015386370330112.png,0.768671,6.616487,9.367495,1.549043,0.000810,0.001838,0.005741
1662015386412331008.png,0.775010,6.668775,9.382130,1.558791,0.000584,0.001677,0.003165
1662015386457331968.png,0.768729,6.604702,9.356999,1.544435,0.000678,0.003135,0.005101
1662015386502332928.png,0.754043,6.403035,9.228408,1.477204,0.000601,0.003929,0.006590
1662015386547333888.png,0.760636,6.484434,9.282685,1.498286,0.000659,0.002147,0.006945
1662015386595334912.png,0.770061,6.638034,9.380955,1.531420,0.000739,0.001836,0.003677
1662015386637335808.png,0.766069,6.589792,9.357216,1.516390,0.000618,0.001977,0.003893
1662015386688336896.png,0.770456,6.624029,9.372826,1.540839,0.000678,0.001891,0.007334
1662015386733337856.png,0.775312,6.645189,9.359077,1.551274,0.000933,0.002045,0.004620
1662015386778338816.png,0.773634,6.601912,9.319092,1.548454,0.000812,0.001532,0.002930
1662015386820339712.png,0.780019,6.681857,9.358833,1.570081,0.000716,0.001489,0.002220
1662015386868340736.png,0.783559,6.720037,9.378057,1.588369,0.000395,0.001338,0.001912
1662015386916341760.png,0.773589,6.578403,9.293816,1.545019,0.000416,0.001371,0.002214
1662015386961342720.png,0.788898,6.816276,9.446394,1.613329,0.000345,0.000974,0.001757
1662015387003343616.png,0.786852,6.725435,9.354219,1.603236,0.000279,0.001002,0.001848
1662015387048344576.png,0.779067,6.539273,9.201652,1.557876,0.000243,0.001381,0.002658
1662015387093345536.png,0.790593,6.686945,9.284350,1.610033,0.000269,0.001071,0.001955
1662015387141346560.png,0.783403,6.488828,9.101528,1.573607,0.000258,0.000982,0.002543
1662015387186347520.png,0.774746,6.265210,8.894160,1.537981,0.000273,0.001103,0.002990
1662015387228348416.png,0.785882,6.388767,8.941932,1.580189,0.000380,0.000554,0.002135
1662015387282349568.png,0.793855,6.504362,9.006927,1.621759,0.000318,0.000580,0.003981
1662015387330350592.png,0.776846,6.167493,8.729423,1.536247,0.000419,0.000864,0.007955
